id_modalidade,descricao_modalidade,descricao_tipo,flg_tipo,isn_modalidade,descricao_justificativa
1,DISPENSA,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,DESPESA COM SERVIÇOS DE REPARO DA FONTE AUXILIAR DO EQUIPAMENTO DE ULTRA SOM
2,PREGÃO ELETRÔNICO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,PARA ATENDER AS NECESSIDADES DO SAMU 192 CE
3,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,A AQUISIÇÃO É NECESSÁRIA PARA REPOSIÇÃO DE ESTOQUE DO ALMOXARIFADO
4,INEXIGIBILIDADE,CONTRATO,51,0,"O CURSO DE PROCEDIMENTOS DE EMERGÊNCIAS TEM A FINALIDADE DE DESENVOLVER NO PILOTO DO CIOPAER A PROFICIÊNCIA NECESSÁRIA PARA PILOTAR A AERONAVE COM SEGURANÇA, EM CASO DE FALHA DE POTÊNCIA OU DE SISTEMAS DIVERSOS EM VÔO, REALIZANDO O POUSO NESTAS CONDIÇÕES DE MANEIRA SEGURA, VISANDO A PROTEÇÃO DA TRIPULAÇÃO E DE PESSOAS EM TERRA."
5,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,PARA ATENDER AS NECESSIDADES DO HOSPITAL GERAL DE FORTALEZA/SESA
6,PREGÃO ELETRÔNICO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,AQUISIÇÃO DE MATERIAL PARA SUPRIR AS NECESSIDADES DESSA UNIDADE HOSPITALAR.
7,DISPENSA,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,AQUISIÇÃO DE MATERIAL DE CONSUMO ( CAIXAS ) PARA TRANSPORTE DE MATERIAL BIOLÓGICO ATRAVÉS DE COTAÇÃO ELETRÔNICA.
8,DISPENSA,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,JUSTIFICA-SE A CONTRATAÇÃO DIRETA POR DISPENSA DE LICITAÇÃO EM VIRTUDE DE O VALOR DO ITEM ADQUIRIDO NÃO SER SUPERIOR AO LIMITE PREVISTO NA LEGISLAÇÃO.
9,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,A PRESENTE AQUISIÇÃO É NECESSÁRIA PARA SUPRIR A CRESCENTE DEMANDA DE BACKUPS DOS BANCOS DE DADOS DOS SISTEMAS DE INFORMAÇÕES PERTENCENTES À SSPDS.
10,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,"AQUISIÇÃO DE MATERIAL DE LIMPEZA (RODO), PARA ATENDER AS NECESSIDADES DO CERESTA."
11,PREGÃO,CONTRATO,51,0,SUPRIR A NECESSIDADE EM PROVER SEGURANÇA E O MONITORAMENTO DAS INSTALAÇÕES DA SEDE DA PERÍCIA FORENSE DO ESTADO DO CEARÁ ATRAVÉS DE CIRCUITO FECHADO DE TELEVISÃO(CFTV).
12,PREGÃO,CONTRATO,51,0,"AQUISIÇÃO DE REAGENTE PARA DETERMINAÇÃO DE IMUNOLOGIA, PARA O HIAS."
13,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,"SUPLEMENTO ALIMENTAR HIPERPROTEICO MINIMO 20% HIPERCALORICO ACIMA DE 1,2 KCAL MARCA NUTRIDRINK PROTEIN PÓ PARA ATENDER DEMANDA JUDICIAL"
14,PREGÃO,CONTRATO,51,0,"OS REFERIDOS VEICULOS SERÃO UTILIZADOS PARA  TRANSPORTAR OS EMPREGADOS DA EMATERCE, A SERVIÇO"
15,PREGÃO,CONTRATO,51,0,"SERVIÇO DE RESERVA, EMISSÃO E ENTREGA DE BILHETES DE PASSAGENS TERRESTRES RODOVIÁRIAS NOS TRECHOS INTERMUNICIPAIS E CAPITAIS, CONFORME AS NECESSIDADES DA UNIVERSIDADE REGIONAL DO CARIRI - URCA."
16,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,NECESSIDADE DE MATERIAIS DE LIMPEZA PARA O CMCB
17,PREGÃO,CONTRATO,51,0,"COMPRA DE 4 (QUATRO) PNEUS PARA VEÍCULO HILUX DA CASA CIVIL, QUE ENCONTRA-SE BASTANTE DESGASTADO."
18,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,CATETER AL II 06 FR (HEM)
19,PREGÃO,CONTRATO,51,0,PARA ATENDIMENTO DAS SECRETÁRIAS MUNICIAPAIS DE SAÚDE
20,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,"AQUISIÇAO DE BOLSAS / ACESSORIOS ATRAVES DA ATA 1167/2021 ( ITEM 1 10500 X 8,09 ) PARA O PROGRAMA PASPO DO CENTRO DE SAUDE MEIRELES PARA ATENDER O MÊS DE OUTUBRO/2022."
