id_fato_contrato,valor_contrato,valor_can_rstpg,valor_original_concedente,valor_original_contrapartida,valor_atualizado_concedente,valor_atualizado_contrapartida,calculated_valor_aditivo,calculated_valor_ajuste,calculated_valor_empenhado,calculated_valor_pago,data_assinatura,data_processamento,data_termino,data_publicacao_doe,data_auditoria,data_termino_original,data_inicio,data_rescisao,data_finalizacao_prestacao_contas,id_entidade,id_modalidade,id_projeto,id_contrato,id_participacao
1,173000.0,0.0,161870.0,11130.0,161870.0,11130.0,0.0,0.0,161870.0,161870.0,2010-06-23,2024-04-08,2011-07-01,2010-06-29,2024-04-06,2010-12-31,2010-06-23,,,20,1,43075,1,42550
2,552586.32,0.0,500000.0,52586.32,500000.0,52586.32,0.0,0.0,500000.0,500000.0,2021-12-22,2024-04-08,2023-06-20,2022-01-04,2024-04-08,2022-12-22,2021-12-22,,2023-08-31,356,1,50535,2,2
3,283059.21,0.0,250000.0,33059.21,250000.0,33059.21,0.0,0.0,150000.0,150000.0,2022-03-10,2024-04-08,2024-11-06,2022-04-08,2024-04-08,2023-03-10,2022-03-10,,,356,1,51109,3,2
4,20000.0,0.0,20000.0,0.0,20000.0,0.0,0.0,0.0,20000.0,20000.0,2022-11-11,2024-04-08,2023-11-11,2022-11-17,2024-04-08,2023-11-11,2022-11-11,,,37,1,44313,4,42379
5,136449.22,0.0,128262.27,8186.95,128262.27,8186.95,0.0,0.0,127522.63,127522.63,2009-12-03,2024-04-08,2010-08-24,2009-12-17,2024-04-06,2010-02-28,2009-12-03,,,259,1,45031,5,2
6,10000.0,0.0,10000.0,0.0,10000.0,0.0,0.0,0.0,10000.0,10000.0,2020-12-02,2024-04-08,2021-03-17,2020-12-11,2024-04-06,2021-02-15,2020-12-02,,,37,1,44489,6,42379
7,23750.0,0.0,19000.0,4750.0,19000.0,4750.0,0.0,0.0,0.0,0.0,2019-06-14,2019-07-12,2019-08-12,,2019-07-11,,,,,37,1,44291,7,2
8,1629474.6,0.0,1500000.0,129474.6,1500000.0,129474.6,0.0,0.0,50000.0,0.0,2023-12-22,2024-04-06,2024-12-22,2024-01-04,2024-04-04,2024-12-22,2023-12-22,,,260,1,52437,8,2
9,28375.0,0.0,22700.0,5675.0,22700.0,5675.0,0.0,0.0,22700.0,22700.0,2015-02-13,2023-06-03,2015-04-14,2015-03-16,2022-09-16,2015-04-14,2015-02-13,,,37,1,44042,9,2
10,13000.0,0.0,13000.0,0.0,13000.0,0.0,0.0,0.0,13000.0,13000.0,2024-02-06,2024-04-08,2024-04-09,2024-02-14,2024-04-08,2024-04-09,2024-02-06,,,37,1,44092,10,2
11,34375.0,0.0,27500.0,6875.0,27500.0,6875.0,0.0,0.0,27500.0,27500.0,2017-02-24,2024-04-08,2017-05-14,2017-03-16,2024-04-08,2017-04-23,2017-02-24,2020-08-17,2017-07-31,37,1,44375,11,2
12,33800.0,0.0,33800.0,0.0,33800.0,0.0,0.0,0.0,33800.0,33800.0,2007-11-20,2024-04-08,2008-12-10,2007-12-11,2024-04-08,2008-12-10,2007-12-11,,,145,1,52563,12,2
13,11000.0,0.0,10000.0,1000.0,10000.0,1000.0,0.0,0.0,10000.0,10000.0,2015-06-03,2024-04-08,2015-08-17,2015-06-10,2024-04-08,2015-08-01,2015-06-03,,,166,1,53779,13,2
14,29650.0,0.0,29650.0,0.0,29650.0,0.0,0.0,0.0,29650.0,29650.0,2022-10-25,2024-04-08,2023-11-25,2022-11-18,2024-04-08,2023-10-25,2022-10-25,,,391,1,41467,14,2
15,22625.0,0.0,18100.0,4525.0,18100.0,4525.0,0.0,0.0,18100.0,18100.0,2017-06-23,2024-04-08,2017-08-20,2017-07-20,2024-04-08,2017-08-20,2017-06-23,,2017-08-23,37,1,44184,15,2
16,116534.94,0.0,100000.0,16534.94,100000.0,16534.94,0.0,0.0,100000.0,100000.0,2018-06-19,2022-11-10,2022-12-21,2018-07-05,2022-12-04,2019-06-19,2018-06-19,,2023-05-25,356,1,52462,16,2
50,126000.0,0.0,118440.0,7560.0,118440.0,7560.0,0.0,0.0,110316.81,110316.81,2010-06-30,2024-04-08,2011-12-30,2010-07-02,2024-04-08,2010-11-30,2010-06-30,,,260,1,47499,50,51925
17,25000.0,0.0,20000.0,5000.0,20000.0,5000.0,0.0,0.0,20000.0,20000.0,2013-02-07,2024-04-08,2013-09-05,2013-05-06,2024-04-08,2013-05-31,2013-02-07,,,37,1,44126,17,42336
18,2500.0,0.0,2500.0,0.0,2500.0,0.0,0.0,0.0,2500.0,2500.0,2020-05-14,2024-04-08,2020-07-13,2020-05-29,2024-04-08,2020-07-13,2020-05-14,,,37,1,44174,18,48326
